net,length_um
_3451_,232.74
_3487_,232.08
_2966_,231.92
net81,230.72
_1621_,230.31
_2021_,230.07
net22,229.18
_2127_,228.5
_1641_,227.78
_3108_,226.27
_1929_,225.44
clknet_4_3_0_clk,223.99
_3719_,223.75
_1617_,222.93
net124,221.77
_3437_,221.12
_3071_,220.6
_3065_,219.865
_3972_,219.8
_3449_,219.555
net138,218.54
_3439_,218.19
clknet_4_7_0_clk,216.19
clknet_4_11_0_clk,215.76
net37,215.2
net113,214.72
_3453_,214.59
_1024_,213.65
_1319_,213.42
_2399_,212.84
_2989_,211.075
net21,209.23
_1549_,207.86
_2362_,207.465
net48,207.385
_1959_,207.21
_1224_,206.34
_2997_,205.92
net19,205.72
net135,205.54
_2420_,205.225
_3479_,205.14
_3864_,204.54
_1240_,204.4
_3174_,204.4
clknet_4_13_0_clk,203.99
_3491_,203.36
net96,202.5
net47,199.66
_1943_,198.9
net40,198.68
_3936_,198.42
_3443_,197.56
_2317_,196.69
_2991_,195.93
clknet_4_15_0_clk,195.32
_3455_,195.3
_3495_,195.22
net26,194.73
_3018_,194.59
_1500_,193.86
_3003_,193.83
_3483_,191.98
_1615_,191.68
_2048_,191.39
_3104_,191.24
_2972_,191.11
_2985_,190.9
_3068_,190.82
clknet_4_4_0_clk,189.43
_3016_,188.23
_3092_,187.88
_1616_,187.28
_3462_,187.135
_3123_,187
_2213_,186.32
_3468_,185.43
_2980_,185.35
_1866_,184.7
_3445_,184.45
_3110_,184.24
clknet_4_2_0_clk,183.61
_2321_,182.96
_3029_,182.2
_1270_,182.14
_3022_,181.88
net41,180.62
_2713_,179.27
_3466_,179.06
_3079_,177.89
_2276_,177.48
_3485_,176.92
_3472_,176.85
_3014_,176.5
_1899_,176.11
net110,174.78
net17,173.96
_2344_,173.86
_4080_,173.3
_2490_,172.92
_3087_,172.8
_3493_,172.52
_2118_,172.01
_2515_,171.86
_2267_,171.145
_2560_,170.94
_3020_,170.84
net7,170.625
_3083_,170.58
_1059_,170.02
_2808_,169.33
_2328_,168.66
clknet_4_14_0_clk,166.32
_1072_,164.61
net39,162.9
_1108_,162.46
net139,161.52
_2216_,160.68
_2266_,160.32
_2974_,157.86
_3287_,157.33
_2754_,157.12
_3447_,156.52
_3499_,156.14
_1414_,155.84
net11,155.515
_1601_,154.48
net13,154.465
_2429_,152.91
_2987_,152.8
net12,151.83
_3024_,151.29
_3497_,150.44
_2295_,149.24
net46,148.36
_1551_,148.08
_2353_,146.7
_3085_,145.54
net4,144.5
_2748_,141.38
_3323_,141.06
_2970_,140.9
_1037_,139.97
_3075_,139.3
_2293_,138.72
_2587_,138.15
_2460_,137.96
_1302_,137.58
_3094_,136.76
_2525_,136.69
_3474_,135.17
_2279_,134.63
_3077_,134.35
_2982_,134.14
clknet_leaf_29_clk,133.86
_3900_,133.72
clknet_leaf_65_clk,132.62
_3026_,132.53
_2352_,132.09
net44,132.08
_2270_,131.32
_3012_,129.99
net120,127.68
_2968_,127.29
_2428_,127.1
_3073_,126.825
_2671_,126.5
_3106_,126.17
net85,126.06
_2200_,125.86
_3008_,124.64
_2445_,123.41
_3010_,123.11
clknet_4_12_0_clk,122.24
_3098_,121.22
_3129_,121.14
_3117_,120.83
_2995_,120.74
_2422_,120.51
_3441_,119.76
net108,117.74
net86,117.48
_2437_,116.91
net87,116.78
_3460_,116.605
_2413_,116.42
_1371_,116.36
_3113_,116.32
net112,115.18
_2269_,114.85
_3464_,114.64
net103,114.64
clknet_leaf_95_clk,114.44
clknet_leaf_55_clk,113.755
_2217_,113.1
net3,112.38
clknet_leaf_102_clk,112.38
_1950_,111.9
_2778_,111.86
_2253_,111.4
_3096_,110.9
_2840_,110.32
_3125_,110.12
_3481_,109.8
net83,109.58
_1454_,109.28
_3089_,108.68
_1337_,108
clknet_leaf_5_clk,107.18
_2214_,107.12
_2886_,107.02
_3133_,107.02
_1071_,106.28
net89,106.1
_1051_,105.72
_2878_,105.36
_2220_,105.26
_3102_,105.16
clknet_leaf_63_clk,104.88
_1080_,104.85
_2632_,104.76
clknet_leaf_39_clk,104.24
_2999_,104.06
_1032_,104.04
_3100_,103.9
_2766_,103.84
_2465_,103.28
_3006_,102.96
_1090_,101.96
_2307_,101.72
_2860_,101.18
net62,100.74
clknet_leaf_32_clk,100.64
clknet_leaf_7_clk,100.36
_2993_,100.06
clknet_leaf_82_clk,99.96
net109,99.66
net88,99.56
_3115_,99.28
clknet_leaf_90_clk,99.28
net95,99.25
_3119_,99.08
net45,98.88
clknet_leaf_4_clk,98.8
clknet_leaf_111_clk,98.48
_2310_,98.32
clknet_leaf_85_clk,98.18
_3001_,97.9
clknet_leaf_53_clk,97.855
_2666_,97.7
clknet_leaf_61_clk,97.64
clknet_leaf_0_clk,97.52
_3127_,97.19
net10,97.16
clknet_leaf_87_clk,97
_1517_,96.86
clknet_leaf_44_clk,96.74
clknet_leaf_66_clk,96.1
clknet_leaf_37_clk,95.73
_2495_,95.69
_2277_,95.22
clknet_leaf_40_clk,94.44
net9,94.38
clknet_leaf_26_clk,94.38
clknet_leaf_19_clk,94.32
_2498_,93.92
clknet_leaf_23_clk,93.88
_2824_,93.87
clknet_leaf_77_clk,93.84
clknet_leaf_86_clk,93.82
_2919_,93.58
clknet_leaf_70_clk,93.46
a2[1],93.39
_2199_,93.26
_2467_,93.195
_1050_,93.01
_2308_,93.01
clknet_leaf_22_clk,92.52
clknet_leaf_74_clk,92.16
_3081_,92.06
clknet_leaf_14_clk,92.06
_3397_,91.82
clknet_leaf_24_clk,91.68
_2403_,91.59
clknet_leaf_105_clk,89.8
clknet_leaf_45_clk,89.47
net99,88.74
net91,88.66
_2692_,88.285
clknet_leaf_20_clk,88.04
_2608_,87.93
net43,87.92
clknet_leaf_104_clk,87.82
_2920_,87.62
clknet_leaf_103_clk,87.2
_2219_,87.11
_1532_,86.9
clknet_leaf_109_clk,86.29
_2271_,86.11
clknet_leaf_8_clk,86
_3360_,85.98
_2262_,85.92
clknet_leaf_12_clk,85.38
clknet_leaf_6_clk,85.34
_2707_,85.28
clknet_leaf_80_clk,85.16
a2[0],84.92
_2208_,84.72
clknet_leaf_81_clk,84.4
net100,84.36
_2290_,83.92
_3136_,83.88
net84,83.72
clknet_leaf_11_clk,83.495
clknet_leaf_2_clk,83.46
_2946_,83.34
clknet_leaf_43_clk,83.28
clknet_leaf_38_clk,82.8
_2298_,81.7
_1361_,81.56
_3121_,81.48
_2951_,81.34
_2567_,81.14
clknet_leaf_106_clk,80.9
_2791_,80.84
net111,80.12
_1440_,79.62
