net,length_um
_0048_,3.69
_0054_,3.69
_1065_,3.68
_0212_,3.66
_0227_,3.66
_0231_,3.66
_0311_,3.66
_0318_,3.66
_0354_,3.66
_1117_,3.66
_1197_,3.66
_1126_,3.64
_0045_,3.59
_0078_,3.59
_0150_,3.59
_0599_,3.56
_1399_,3.56
_1479_,3.56
_0225_,3.54
_0241_,3.54
_0272_,3.54
_0278_,3.54
_0281_,3.54
_0291_,3.54
_0304_,3.54
_0317_,3.54
_0323_,3.54
_0325_,3.54
_0328_,3.54
_0341_,3.54
_0493_,3.54
_0907_,3.54
_0938_,3.54
_1016_,3.54
_1017_,3.54
_1024_,3.54
_1077_,3.54
_1281_,3.54
_1295_,3.54
_1380_,3.54
imem.address\[2\],3.54
_0010_,3.465
_0743_,3.44
_0980_,3.44
_1172_,3.44
_0579_,3.42
_0689_,3.42
_0886_,3.42
_0934_,3.42
_1212_,3.42
_1221_,3.42
_1236_,3.42
_1272_,3.42
_0288_,3.4
_0067_,3.35
_0143_,3.35
_0355_,3.345
_0043_,3.3
_0127_,3.3
_0211_,3.3
_0068_,3.23
_0126_,3.23
_0660_,3.22
_1094_,3.22
_1147_,3.22
_1153_,3.22
_0228_,3.2
_0230_,3.2
_0233_,3.2
_0271_,3.2
_0302_,3.2
_0322_,3.2
_0332_,3.2
_0345_,3.2
_0055_,3.18
_0672_,3.18
_0921_,3.1
_1241_,3.1
net19,3.1
_0208_,3.08
_0299_,3.08
_0303_,3.08
_0306_,3.08
_0329_,3.08
_0333_,3.08
_0349_,3.08
_0351_,3.08
_0593_,3.08
_0703_,3.08
_0744_,3.08
_1183_,3.08
_0026_,3.075
_0012_,3.055
_0356_,3.005
_1182_,2.98
_1209_,2.98
net20,2.98
_0154_,2.96
_0367_,2.96
_0463_,2.96
_0906_,2.96
_1066_,2.96
_1211_,2.96
_1417_,2.96
_0267_,2.925
_0331_,2.925
_0169_,2.89
_0024_,2.885
_0873_,2.86
_0039_,2.84
_0056_,2.84
_0057_,2.84
_0072_,2.84
_0095_,2.84
_0114_,2.84
_0125_,2.84
_0131_,2.84
_0163_,2.84
_0173_,2.84
_0178_,2.84
_0249_,2.84
net42,2.84
_0914_,2.76
_0076_,2.74
_0198_,2.74
_0243_,2.74
_0257_,2.74
_0258_,2.74
_0264_,2.74
_0270_,2.74
_0301_,2.74
_0327_,2.74
_0330_,2.74
_0339_,2.74
_0353_,2.74
_0164_,2.69
_0171_,2.69
_0051_,2.67
_0079_,2.67
_0089_,2.67
_0096_,2.67
_0183_,2.67
_0209_,2.64
_0290_,2.64
_0296_,2.64
_0426_,2.64
_0427_,2.64
_0920_,2.64
_1076_,2.64
_1346_,2.64
_1414_,2.64
_1203_,2.63
_0064_,2.62
_0192_,2.62
_0309_,2.62
_0347_,2.62
_0495_,2.62
_0772_,2.62
_0853_,2.62
_0865_,2.62
_1151_,2.62
_1159_,2.62
_1386_,2.62
_0193_,2.52
_0320_,2.52
_1264_,2.52
_0985_,2.505
_0028_,2.5
_0289_,2.5
_0338_,2.5
_0661_,2.5
_0678_,2.5
_0725_,2.5
_0799_,2.5
_1020_,2.5
_1043_,2.5
_1073_,2.5
_1125_,2.5
_1185_,2.5
_1255_,2.5
_1287_,2.5
_1373_,2.5
net12,2.5
_0035_,2.43
_0158_,2.43
_1088_,2.41
_0033_,2.38
_0034_,2.38
_0038_,2.38
_0053_,2.38
_0062_,2.38
_0071_,2.38
_0102_,2.38
_0110_,2.38
_0115_,2.38
_0129_,2.38
_0151_,2.38
_0153_,2.38
_0155_,2.38
_0185_,2.38
_1083_,2.38
_0009_,2.375
_0195_,2.3
_0919_,2.3
_0936_,2.3
_1274_,2.3
_0041_,2.28
_0052_,2.28
_0059_,2.28
_0063_,2.28
_0094_,2.28
_0191_,2.28
_0236_,2.28
_0256_,2.28
_0305_,2.28
_0031_,2.23
_0032_,2.23
_0036_,2.23
_0044_,2.23
_0082_,2.23
_0085_,2.23
_0099_,2.23
_0120_,2.23
_0121_,2.23
_0133_,2.23
_0135_,2.23
_0146_,2.23
_0147_,2.23
_0156_,2.23
_0159_,2.23
_0165_,2.23
_0189_,2.23
_0050_,2.21
_0066_,2.21
_0081_,2.21
_0086_,2.21
_0137_,2.21
_0162_,2.21
_0174_,2.21
_0234_,2.18
_0237_,2.18
_0250_,2.18
_0259_,2.18
_0260_,2.18
_0266_,2.18
_0285_,2.18
_0297_,2.18
_0313_,2.18
_0314_,2.18
_0398_,2.18
_0399_,2.18
_0405_,2.18
_0462_,2.18
_0687_,2.18
_1245_,2.18
_1441_,2.18
_0098_,2.16
_0123_,2.16
_0138_,2.16
_0140_,2.16
_0166_,2.16
_0273_,2.16
_0394_,2.16
_0423_,2.16
_0722_,2.16
_0875_,2.16
_0876_,2.16
_1069_,2.16
_1104_,2.16
_1110_,2.16
_1149_,2.16
net7,2.16
net9,2.16
net25,2.16
_0016_,2.145
_0141_,2.09
_0152_,2.09
_0011_,2.085
_0363_,2.085
_0008_,2.08
_0021_,2.08
_1102_,2.06
_0037_,2.04
_0073_,2.04
_0100_,2.04
_0170_,2.04
_0186_,2.04
_0447_,2.04
_0738_,2.04
_1067_,2.04
_0002_,2.025
_1061_,1.94
_0997_,1.88
_0357_,1.865
_0196_,1.84
_0395_,1.84
_0407_,1.84
_0442_,1.84
_0647_,1.84
_0864_,1.84
_0870_,1.84
_0917_,1.84
_1081_,1.84
_1184_,1.84
_1300_,1.84
_1394_,1.84
_1400_,1.84
_1419_,1.84
_0042_,1.82
_0075_,1.82
_0092_,1.82
_0093_,1.82
_0118_,1.82
_0122_,1.82
_0139_,1.82
_0144_,1.82
_0188_,1.82
_0190_,1.82
_0206_,1.82
_0226_,1.82
_0235_,1.82
_0277_,1.82
_0307_,1.82
_0315_,1.82
_0046_,1.75
_1178_,1.72
_0112_,1.7
_0167_,1.7
_0168_,1.7
_0295_,1.7
_0344_,1.7
_0558_,1.7
_0856_,1.7
_0923_,1.7
_1084_,1.7
net37,1.7
_0585_,1.6
_0482_,1.56
_0884_,1.48
_1074_,1.48
_0400_,1.38
_0406_,1.38
_0408_,1.38
_0410_,1.38
_0431_,1.38
_0436_,1.38
_0461_,1.38
_1275_,1.38
_1297_,1.38
_1299_,1.38
_1311_,1.38
_1410_,1.38
_0049_,1.36
_0061_,1.36
_0069_,1.36
_0070_,1.36
_0097_,1.36
_0103_,1.36
_0104_,1.36
_0105_,1.36
_0106_,1.36
_0107_,1.36
_0109_,1.36
_0130_,1.36
_0145_,1.36
_0148_,1.36
_0177_,1.36
_0263_,1.36
_0286_,1.36
_1249_,1.36
_0847_,1.26
_1354_,1.26
_1429_,1.26
_1235_,1.14
_1343_,1.14
_1351_,1.14
_1390_,1.14
_1423_,1.14
_1427_,1.14
_1439_,1.14
_1443_,1.14
_1137_,1.02
_0387_,0.92
_0413_,0.92
_0415_,0.92
_0417_,0.92
_1301_,0.92
_1306_,0.92
_1309_,0.92
_1313_,0.92
_1381_,0.92
_1206_,0.815
_0979_,0.8
_1296_,0.8
_0401_,0.46
_0404_,0.46
_0416_,0.46
_0418_,0.46
_0422_,0.46
_0443_,0.46
_0444_,0.46
_0445_,0.46
_0446_,0.46
_0448_,0.46
_0450_,0.46
_0759_,0.46
_1290_,0.46
_1305_,0.46
_1315_,0.46
_1316_,0.46
