net,length_um
_0541_,40.28
_0764_,40.11
imem.address\[3\],40.08
_0824_,40.02
_0618_,39.915
_0381_,39.88
reg_file.registers\[10\]\[11\],39.76
reg_file.registers\[10\]\[8\],39.6
reg_file.registers\[11\]\[30\],39.54
_0892_,39.5
display.digit_sel\[2\],39.48
_0385_,39.1
_1116_,39.08
_1150_,39.02
_1397_,38.92
_1190_,38.84
_1395_,38.78
_0615_,38.71
_1370_,38.7
_1079_,38.52
_0840_,38.34
_0640_,38.3
_1010_,38.24
clknet_leaf_1_clk,38.16
_1007_,38.04
_0981_,38.01
_1071_,37.78
net31,37.78
_1262_,37.7
_0545_,37.68
_1144_,37.56
_1082_,37.44
_0918_,37.3
_0530_,37
_0973_,36.88
reg_file.registers\[10\]\[1\],36.78
_0654_,36.76
reg_file.registers\[10\]\[9\],36.66
reg_file.registers\[11\]\[9\],36.66
_1246_,36.32
_0633_,36.3
_1263_,36.24
reg_file.registers\[10\]\[19\],36.2
reg_file.registers\[11\]\[27\],36.14
_0531_,36.12
_1233_,35.88
_1468_,35.78
_0976_,35.74
_0720_,35.72
reg_file.registers\[5\]\[4\],35.68
_0690_,35.66
_0784_,35.62
_0388_,35.53
_0581_,35.52
_1253_,35.5
_0806_,35.48
reg_file.registers\[11\]\[26\],35.48
_0794_,35.42
_0978_,35.38
_0671_,35.32
_1202_,35.29
_0954_,35.28
_0957_,35.26
_1379_,35.26
_0555_,35.18
_0726_,35.08
net26,35.06
_0632_,34.88
_1100_,34.82
_0989_,34.8
_0785_,34.7
reg_file.registers\[10\]\[27\],34.52
_1101_,34.34
clknet_leaf_7_clk,34.32
_0883_,34.3
_1063_,34.28
imem.address\[4\],34.14
_0791_,33.94
_0563_,33.9
_0379_,33.88
_0560_,33.86
_0827_,33.4
reg_file.registers\[10\]\[21\],33.28
_0511_,33.22
_0517_,33.22
_0750_,33.12
_1070_,33.12
reg_file.registers\[10\]\[10\],32.98
reg_file.registers\[10\]\[17\],32.92
_1086_,32.82
_1375_,32.68
_1130_,32.46
_1396_,32.12
reg_file.registers\[11\]\[11\],32.08
_0673_,32.02
_0553_,31.94
_0634_,31.9
_1175_,31.62
_1039_,31.48
_1377_,31.47
_1474_,31.42
_0964_,31.38
reg_file.registers\[10\]\[7\],31.38
reg_file.registers\[10\]\[6\],31.36
_0390_,31.34
_0360_,30.96
reg_file.registers\[11\]\[15\],30.94
_0715_,30.9
_0922_,30.74
_0499_,30.64
_1207_,30.62
reg_file.registers\[10\]\[18\],30.48
_0508_,30.46
_1276_,30.44
_0761_,30.36
