net,length_um
_1607_,50.62
_1366_,50.36
_0479_,50.32
_1053_,50.3
_1428_,50.1
_1612_,50
_1084_,49.8
_1587_,49.74
reg_file.registers\[11\]\[26\],49.74
reg_file.registers\[11\]\[9\],49.5
reg_file.registers\[10\]\[21\],49.36
_0679_,49.3
display.digit_sel\[1\],49.13
_1585_,48.86
_1425_,48.72
_1621_,48.72
_1161_,48.58
_1143_,48.5
reg_file.registers\[10\]\[19\],48.18
_1157_,48.06
net54,47.88
reset,47.77
_0582_,47.7
_1317_,47.42
_0573_,47.22
reg_file.registers\[10\]\[23\],47.21
_1710_,47.12
_1396_,47.04
reg_file.registers\[2\]\[4\],46.24
_1443_,46.12
_0984_,45.96
_1567_,45.66
reg_file.registers\[11\]\[3\],45.66
_0622_,45.48
_1254_,45.09
reg_file.registers\[10\]\[18\],44.96
_1619_,44.92
_0768_,44.48
_0649_,44.3
reg_file.registers\[10\]\[15\],44.2
_1644_,44.14
_1581_,44.07
_0619_,44.06
_1308_,43.82
_1372_,43.7
_1420_,43.44
_1519_,43.02
reg_file.registers\[10\]\[17\],42.94
_1152_,42.74
_0642_,42.56
_0689_,42.16
_0671_,42.06
_0936_,41.96
_1052_,41.92
_0666_,41.72
_0612_,41.7
_0658_,41.68
_0702_,41.68
_1362_,41.54
reg_file.registers\[11\]\[19\],41.5
_1113_,41.46
_0776_,41.36
reg_file.registers\[11\]\[29\],41.32
_0831_,41.28
_1577_,41.02
reg_file.registers\[11\]\[1\],40.92
_1608_,40.89
_0456_,40.8
_0616_,40.78
_1590_,40.7
reg_file.registers\[11\]\[12\],40.43
_0747_,40.38
_1078_,40.28
_1522_,40.08
_0464_,39.86
reg_file.registers\[10\]\[11\],39.8
_0745_,39.74
_1347_,39.74
_1257_,39.5
net16,39.36
reg_file.registers\[11\]\[24\],39.34
_1421_,39.28
_1138_,39.24
_0470_,39.12
_0701_,39.12
_1387_,38.78
_0639_,38.7
_1640_,38.48
_1343_,38.44
_1206_,38.4
reg_file.registers\[11\]\[8\],38.315
_0475_,38.24
_0744_,37.9
_0857_,37.66
net20,37.66
_0607_,37.56
_0755_,37.38
_0933_,37.3
reg_file.registers\[10\]\[6\],37.28
_1225_,36.8
reg_file.registers\[11\]\[6\],36.74
_1348_,36.62
reg_file.registers\[11\]\[13\],36.54
_0651_,36.4
_0569_,36.18
_1285_,36.18
_0967_,36.1
_1439_,35.92
_1457_,35.89
_1390_,35.88
_1616_,35.76
reg_file.registers\[10\]\[28\],35.705
_0971_,35.66
_0710_,35.46
_1382_,35.34
reg_file.registers\[10\]\[25\],35.3
reg_file.registers\[10\]\[27\],34.8
_0662_,34.78
_1386_,34.58
_1239_,34.44
_0466_,34.4
_1033_,34.34
_0453_,34.105
reg_file.registers\[11\]\[16\],34.1
_1440_,33.78
_1649_,33.56
reg_file.registers\[10\]\[26\],33.48
_1125_,33.26
reg_file.registers\[15\]\[4\],33.22
_0586_,33.2
_1458_,33.12
_0654_,32.96
_1534_,32.955
_1054_,32.88
reg_file.registers\[15\]\[1\],32.87
reg_file.registers\[11\]\[17\],32.7
_0592_,32.44
_1231_,32.3
_0624_,32.18
_1648_,32.16
_1530_,32.12
_0463_,31.92
_0871_,31.76
_0627_,31.62
_1088_,31.54
_1578_,31.54
_0577_,31.52
_1247_,31.5
_0993_,31.42
imem.address\[13\],31.4
_0632_,31.24
_1624_,31.2
_1583_,31.125
_1363_,31.12
_1311_,30.81
_0706_,30.54
reg_file.registers\[11\]\[7\],30.3
_1340_,30.28
imem.address\[16\],30.04
_1041_,29.98
_1406_,29.94
reg_file.registers\[10\]\[1\],29.76
net15,29.72
_0943_,29.58
_0975_,29.22
_0606_,29.16
clknet_leaf_19_clk,29.16
_0720_,29.06
_0004_,28.985
_0664_,28.96
reg_file.registers\[11\]\[10\],28.92
reg_file.registers\[5\]\[0\],28.915
_1189_,28.9
_1287_,28.82
_1334_,28.58
_1670_,28.58
_1606_,28.54
reg_file.registers\[11\]\[25\],28.51
_1353_,28.48
_0775_,28.36
_1413_,28.36
_1626_,28.28
_0997_,28.2
clknet_leaf_2_clk,28.16
_1666_,27.98
_1471_,27.8
_1249_,27.7
_0476_,27.6
_1038_,27.44
_0454_,27.4
_0911_,27.36
_1325_,27.26
_0900_,27.2
_1134_,27.18
reg_file.registers\[11\]\[20\],27.16
reg_file.registers\[11\]\[18\],27.14
_0961_,27.08
_0811_,26.76
_1305_,26.68
_1401_,26.58
net36,26.56
_1093_,26.52
_1359_,26.52
_0447_,26.5
_1653_,26.49
_0735_,26.48
_1044_,26.48
reg_file.registers\[2\]\[2\],26.34
_0683_,26.25
_1127_,26.16
_0848_,26.06
_1187_,26.06
reg_file.registers\[11\]\[21\],25.98
_0793_,25.94
imem.address\[7\],25.94
reg_file.registers\[11\]\[27\],25.68
imem.address\[2\],25.66
_1595_,25.64
net24,25.54
reg_file.registers\[5\]\[16\],25.5
reg_file.registers\[10\]\[30\],25.44
_1651_,25.22
_1168_,25
reg_file.registers\[11\]\[22\],24.9
_1575_,24.72
_1216_,24.66
_1364_,24.52
_1599_,24.46
_1180_,24.3
reg_file.registers\[11\]\[31\],24.3
_1611_,24.26
_0581_,24.16
_1173_,24.1
reg_file.registers\[15\]\[14\],24.04
_0596_,23.98
_0938_,23.86
reg_file.registers\[15\]\[15\],23.86
_0459_,23.8
_1356_,23.7
reg_file.registers\[11\]\[15\],23.7
imem.address\[6\],23.68
_1314_,23.62
_1514_,23.62
net10,23.46
reg_file.registers\[11\]\[11\],23.4
_0713_,23.38
_0468_,23.335
_0814_,23.26
_1043_,23.18
_1358_,22.88
_1532_,22.72
_0412_,22.605
_1593_,22.55
_1097_,22.54
reg_file.registers\[15\]\[19\],22.485
_0699_,22.4
_0824_,22.36
_1057_,22.36
_1678_,22.18
_1405_,22.06
_0859_,22.04
_1131_,21.98
_1176_,21.98
net26,21.9
_1414_,21.78
_0613_,21.76
_0473_,21.74
_1674_,21.68
net8,21.66
net9,21.66
imem.address\[25\],21.56
_0678_,21.54
_1333_,21.54
_0614_,21.535
_0801_,21.48
imem.address\[26\],21.48
_0591_,21.46
imem.address\[22\],21.46
reg_file.registers\[2\]\[0\],21.46
_1259_,21.42
_0838_,21.32
_0643_,21.18
_0906_,21.18
_1197_,21
_0789_,20.98
_1645_,20.93
_1165_,20.84
reg_file.registers\[11\]\[28\],20.8
_1194_,20.74
_0560_,20.65
_0648_,20.58
_0474_,20.565
_1480_,20.52
_0973_,20.39
_1049_,20.36
_0962_,20.34
_1031_,20.32
reg_file.registers\[2\]\[25\],20.28
reg_file.registers\[2\]\[18\],20.12
reg_file.registers\[5\]\[28\],20.06
_0964_,20
_0916_,19.9
display.counter\[0\],19.84
reg_file.registers\[15\]\[12\],19.795
_0677_,19.635
net19,19.62
net59,19.6
_1303_,19.54
_1561_,19.5
net48,19.48
reg_file.registers\[2\]\[3\],19.36
_0461_,19.32
_0675_,19.28
_0953_,19.22
_1657_,19.22
_1264_,19.08
_1195_,19.06
_0821_,18.96
_1106_,18.96
_1559_,18.96
_0867_,18.74
_1341_,18.74
_0781_,18.66
_0006_,18.645
_1215_,18.62
_0674_,18.6
reg_file.registers\[2\]\[24\],18.58
_1199_,18.56
_0719_,18.52
_0935_,18.52
_1467_,18.52
_0803_,18.46
_0769_,18.38
_1528_,18.22
_0737_,18.155
_1682_,18.095
_1533_,17.94
imem.address\[9\],17.92
_0818_,17.9
_1385_,17.9
_1352_,17.88
_1526_,17.88
_0800_,17.86
_1204_,17.815
_0555_,17.78
_0837_,17.76
_1400_,17.72
_1050_,17.655
_1090_,17.64
_1610_,17.6
_0645_,17.56
_0758_,17.54
reg_file.registers\[2\]\[6\],17.54
_0805_,17.52
_1024_,17.5
_1535_,17.5
imem.address\[14\],17.48
_0554_,17.44
_1609_,17.44
reg_file.registers\[5\]\[3\],17.425
_0784_,17.42
_1686_,17.38
reg_file.registers\[2\]\[28\],17.22
_1394_,17.06
_1087_,16.98
_1520_,16.98
_0753_,16.94
display.counter\[13\],16.88
_1191_,16.84
_0881_,16.82
_1524_,16.81
_0467_,16.54
imem.address\[4\],16.54
imem.address\[30\],16.48
_1389_,16.47
reg_file.registers\[5\]\[27\],16.44
_0919_,16.36
_1203_,16.36
reg_file.registers\[10\]\[31\],16.36
_1663_,16.32
_0896_,16.31
_0816_,16.24
_0845_,16.14
_1027_,16.14
_0798_,16.04
_1650_,16.02
display.counter\[10\],16
reg_file.registers\[5\]\[2\],15.98
_0618_,15.92
_1499_,15.92
_0634_,15.9
_0861_,15.9
imem.address\[28\],15.84
imem.address\[8\],15.84
_0335_,15.82
_0912_,15.8
display.counter\[4\],15.8
net38,15.8
_0414_,15.745
_1021_,15.7
_1047_,15.68
_0890_,15.54
_0942_,15.52
_1005_,15.52
_1436_,15.52
_0954_,15.5
reg_file.registers\[15\]\[16\],15.485
imem.address\[10\],15.44
_1525_,15.42
net47,15.42
_1122_,15.4
_0417_,15.38
_1643_,15.34
_0617_,15.3
_1672_,15.28
_0807_,15.26
_1009_,15.24
_1230_,15.22
_1403_,15.18
_0840_,15.16
_0884_,15.1
_0283_,15.02
_1037_,15.02
_1322_,15.02
_1664_,15.02
imem.address\[20\],14.96
_0817_,14.95
_0897_,14.94
_0452_,14.92
_0712_,14.92
_1012_,14.92
_1039_,14.92
net60,14.9
net27,14.88
display.digit_sel\[2\],14.78
net41,14.76
_0728_,14.74
_0635_,14.7
_0271_,14.68
_0740_,14.6
_0796_,14.58
display.counter\[1\],14.52
reg_file.registers\[5\]\[11\],14.52
_0734_,14.44
_0763_,14.44
reg_file.registers\[5\]\[10\],14.43
_0604_,14.42
_0764_,14.4
_1295_,14.38
_1223_,14.32
_1523_,14.3
display.counter\[7\],14.3
_0872_,14.26
_1412_,14.22
_0217_,14.2
_1160_,14.2
_0905_,14.18
_1306_,14.17
_1716_,14.02
seg[0],14.01
_0869_,13.98
_0774_,13.88
_1588_,13.86
_1355_,13.84
_1597_,13.805
_1296_,13.8
imem.address\[27\],13.79
reg_file.registers\[15\]\[9\],13.695
_0883_,13.64
_1067_,13.6
_0708_,13.56
_1313_,13.56
imem.address\[19\],13.525
reg_file.registers\[5\]\[7\],13.5
_0704_,13.46
_1424_,13.42
_0891_,13.36
_0640_,13.34
_1635_,13.34
_1529_,13.31
reg_file.registers\[5\]\[19\],13.285
_0879_,13.28
_0739_,13.26
_1680_,13.24
_0556_,13.18
_1521_,13.18
_0757_,13.14
_1061_,13.1
reg_file.registers\[5\]\[14\],13.07
_0886_,13.04
_1051_,13.04
_1475_,13.04
_1144_,13
_0749_,12.98
_0460_,12.88
reg_file.registers\[5\]\[31\],12.84
net55,12.84
_0835_,12.82
_0923_,12.8
reg_file.registers\[2\]\[12\],12.8
_0850_,12.78
reg_file.registers\[15\]\[0\],12.775
reg_file.registers\[15\]\[28\],12.765
_0571_,12.72
_0000_,12.665
_1109_,12.66
imem.address\[23\],12.655
reg_file.registers\[15\]\[7\],12.625
_1075_,12.58
_0854_,12.5
_0948_,12.46
reg_file.registers\[5\]\[6\],12.46
_1299_,12.38
_0925_,12.34
reg_file.registers\[5\]\[8\],12.34
imem.address\[3\],12.3
_1446_,12.28
_0620_,12.24
_0868_,12.22
_0362_,12.16
_1658_,12.16
_1646_,12.14
_0932_,12.12
display.counter\[17\],12.12
_0887_,12.08
_1568_,12.08
_0626_,12.04
_0631_,12.04
_1183_,12.04
net14,12.04
_0828_,12
_1709_,11.96
_0287_,11.94
_0804_,11.9
_1531_,11.88
_1591_,11.8
_0875_,11.76
_1701_,11.76
_0294_,11.72
reg_file.registers\[15\]\[31\],11.72
reg_file.registers\[2\]\[23\],11.72
_1615_,11.66
reg_file.registers\[15\]\[30\],11.66
net2,11.66
_0587_,11.64
reg_file.registers\[15\]\[24\],11.625
_1518_,11.6
_0949_,11.59
_0450_,11.58
reg_file.registers\[2\]\[26\],11.54
_1675_,11.5
_0372_,11.48
_0727_,11.46
_1096_,11.46
_0017_,11.415
_0920_,11.38
_0653_,11.36
reg_file.registers\[2\]\[5\],11.36
_0794_,11.34
_1417_,11.34
_0595_,11.32
_1673_,11.315
reg_file.registers\[2\]\[27\],11.3
_0600_,11.28
_0593_,11.26
_1149_,11.24
reg_file.registers\[15\]\[10\],11.225
_0621_,11.22
_0696_,11.22
_0690_,11.2
_0705_,11.2
_1182_,11.2
prev_control,11.2
_0783_,11.14
reg_file.registers\[15\]\[18\],11.125
_1221_,11.12
_0910_,11.1
_1101_,11.1
_0832_,10.96
display.counter\[3\],10.96
reg_file.registers\[5\]\[12\],10.955
reg_file.registers\[15\]\[17\],10.885
_0628_,10.86
_0924_,10.86
_1030_,10.86
_0820_,10.8
_1527_,10.78
_1118_,10.76
_1288_,10.705
reg_file.registers\[5\]\[29\],10.7
_0882_,10.69
_1290_,10.66
_1377_,10.64
_0687_,10.62
_1668_,10.58
_1274_,10.56
_1448_,10.56
_0492_,10.54
imem.address\[17\],10.54
reg_file.registers\[2\]\[31\],10.54
_1236_,10.5
reg_file.registers\[5\]\[22\],10.5
_1213_,10.48
_0623_,10.46
_0589_,10.44
_0982_,10.44
_0647_,10.435
reg_file.registers\[2\]\[9\],10.42
_1586_,10.41
_1462_,10.4
_1302_,10.38
_1584_,10.38
reg_file.registers\[15\]\[27\],10.38
_1628_,10.32
_0780_,10.3
display.counter\[14\],10.24
_0676_,10.2
_0950_,10.2
_0655_,10.18
_0866_,10.18
_0808_,10.14
