net,length_um
net1,56.78
_02_,55.84
net2,43.96
net5,42.88
net7,35.34
net6,33.75
net14,27.52
net8,26.68
_04_,26.02
net9,25.74
net3,22.5
_09_,22.04
net10,21.78
_03_,21.38
net16,19.88
_08_,19.44
_05_,18.94
_07_,17.02
net4,16.66
_06_,15.92
in[7],12.79
_00_,12.16
out[0],11.89
in[0],10.73
out[7],10.61
net13,9.36
net15,8.94
_01_,8.18
net11,7.68
net12,6.72
out[6],6.69
in[1],6.65
in[5],6.31
in[3],5.97
out[3],5.29
out[5],5.29
in[4],4.95
in[2],4.61
in[6],4.61
out[1],3.93
out[2],3.93
out[4],3.93
